ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07280;2013-01-01T19:00:00+01:00;101540;220;3;290;1.0;278.85;277.85;93;19000;0;;;100;;800;;;;98770;;;;278.750000;;280.750000;;;;;;2.600000;-10;;0.000000;;;0.0;2.0;;7.0;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-01-05T13:00:00+01:00;103660;-50;8;0;0.0;279.95;278.75;92;4800;58;;;100;;450;;;;100850;;;;;;;;;;;;1.000000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;58
07280;2013-01-08T01:00:00+01:00;102940;10;3;0;0.0;277.15;275.35;88;13000;0;;;100;;250;;;;100120;;;;;;;;;;;;1.000000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-01-06T22:00:00+01:00;103190;-60;8;350;1.5;279.55;277.25;85;50000;0;;;100;;800;;;;100380;;;;;;;;;;;;2.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-01-15T22:00:00+01:00;101010;170;3;300;4.1;273.85;270.65;79;45000;0;;;100;;1250;;;;98200;;;;;;;;;;;;8.200000;-10;12;;;;0.0;0.2;;;;710.000000;1108.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-01-14T04:00:00+01:00;101380;-20;8;320;3.1;274.85;273.65;92;7000;0;;;100;;450;;;;98580;;;;;;;;;;;;4.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-01-14T19:00:00+01:00;101630;50;1;290;3.1;269.95;266.15;72;24000;0;;;;;1250;;;;98770;;;;269.950000;;274.550000;;;;;;8.700000;-10;;0.000000;;;0.0;0.0;;0.0;;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-01-14T22:00:00+01:00;101520;-120;8;180;2.6;269.15;266.35;79;17000;0;;;;;;;;;98650;;;;;;;;;;;;4.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-02-08T04:00:00+01:00;101600;-150;8;250;0.5;269.55;269.05;96;100;49;;;101;;;62;61;60;98730;;;;;;;;;;;;2.100000;-10;13;;;;0.0;0.2;;;;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;49
07280;2013-02-13T16:00:00+01:00;102500;70;3;20;3.6;273.05;265.05;51;13000;0;;;90;;1250;;;;99640;;;;;;;;;;;;5.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
